line_sign_name,line_number,company_name,region_id
1020-10,35265,spencer,1
5300-10,33122,gatusa,7
2780-10,399,viacao metropole,3
5025-10,1564,movebuss,5
407Y-10,2206,express,4
4734-10,33877,movebuss,5
7040-10,776,alfa rodobus,8
8021-10,2073,transppass,8
1730-10,33633,norte buss s.a.,2
6L03-10,34333,transwolff,6
3301-10,1618,viacao metropole,3
5034-10,34431,via sudeste,5
4021-10,2548,pessego,4
2734-10,1760,upbus s.a.,3
6056-10,1147,transwolff,6
6913-10,1465,viacao grajau,6
5362-10,70,viacao grajau,6
3002-10,1808,transuniao,3
1178-31,1812,viacao metropole,3
5632-10,32849,viacao grajau,6
342M-10,33515,ambiental s.a.,4
4717-10,335,via sudeste,5
637V-10,32872,transwolff,6
6803-10,32797,campo belo,7
695V-10,32776,kbpx,7
6038-10,33984,transwolff,7
1705-10,33617,norte buss s.a.,2
3761-10,1051,pessego,4
3739-10,33807,pessego,4
9019-10,1433,norte buss s.a.,1
1780-10,33637,norte buss s.a.,2
407H-10,34965,express,4
4113-10,33536,ambiental transportes urbanos s.a.,4
971R-10,33382,sambaiba,2
9050-10,2088,gato preto,8
9051-10,2089,gato preto,8
5013-10,1117,a2 transportes,6
6012-31,1776,transwolff,7
971R-10,614,sambaiba,2
6806-10,32800,campo belo,7
775A-10,33241,transppass,8
476A-10,304,via sudeste,5
118C-10,519,sambaiba,2
6007-10,176,viacao metropole,7
2175-10,33465,sambaiba,2
8600-10,34200,santa brigida,1
5106-21,1972,mobibrasil,6
848L-10,33576,spencer,1
8043-10,407,santa brigida,1
978J-10,33359,santa brigida,1
118Y-10,33609,norte buss s.a.,2
6291-10,358,gatusa,7
775P-10,33275,transppass,8
809N-10,35012,transppass,8
407L-10,34967,express,4
748A-10,33266,transppass,8
4025-10,1095,movebuss,5
938L-10,34136,gato preto,1
4112-10,33535,ambiental transportes urbanos s.a.,4
8004-10,1254,santa brigida,1
2290-10,33486,ambiental s.a.,4
477U-10,306,via sudeste,5
6414-10,33128,gatusa,7
5020-10,1670,movebuss,5
6062-10,1151,transwolff,6
7062-10,34666,transwolff,7
8707-10,34832,transppass,8
8019-10,2071,transppass,8
5119-10,1,campo belo,7
7022-10,2084,viacao metropole,7
809A-10,2069,transppass,8
2733-10,33716,allibus,4
5185-10,1308,kbpx,7
8072-10,2079,transcap,8
5752-10,1287,a2 transportes,6
8002-10,1252,santa brigida,1
6804-10,32798,campo belo,7
2716-10,33697,allibus,4
6039-21,35261,transwolff,7
6200-10,355,gatusa,7
8705-10,2072,transppass,8
1775-10,33406,norte buss s.a.,2
2435-10,32978,viacao metropole,3
8013-10,800,norte buss s.a.,1
3053-10,33741,allibus,4
574C-10,34407,transuniao,5
5012-10,1116,a2 transportes,6
8300-10,35275,santa brigida,1
273X-10,33160,viacao metropole,3
4312-10,34940,viacao metropole,3
746R-10,33558,transcap,8
4742-10,33110,via sudeste,5
314V-10,311,via sudeste,5
709M-10,35230,gatusa,7
271F-10,683,sambaiba,2
3004-10,34566,viacao metropole,3
675K-10,32966,viacao metropole,7
6075-10,1162,transwolff,6
6058-10,1149,transwolff,6
2011-10,2136,sambaiba,2
3721-10,1019,pessego,4
958P-10,33233,santa brigida,1
847P-42,34192,santa brigida,1
6063-41,1773,transwolff,6
6823-10,32802,campo belo,7
177H-10,630,sambaiba,2
8047-10,408,santa brigida,1
2013-10,33667,spencer,2
273G-10,32991,viacao metropole,3
4315-10,34943,viacao metropole,3
172X-10,861,norte buss s.a.,2
575A-10,34406,transuniao,5
2714-10,927,allibus,4
6010-10,33970,transwolff,7
172P-10,858,norte buss s.a.,2
2709-10,33690,allibus,4
695T-10,34090,kbpx,7
6835-31,34175,campo belo,7
1896-10,35288,santa brigida,1
2016-10,902,upbus s.a.,3
178L-10,560,sambaiba,2
2709-10,922,allibus,4
857C-10,34669,kbpx,7
2730-10,33713,upbus s.a.,3
6L11-10,33935,transwolff,6
178Y-10,868,norte buss s.a.,2
4006-10,2180,express,4
2626-10,376,viacao metropole,3
3903-10,1471,viacao metropole,3
1021-10,33601,norte buss s.a.,1
3745-10,33812,allibus,4
208M-10,35246,sambaiba,2
7458-10,33264,transppass,8
4288-10,33058,via sudeste,5
8545-10,1364,gato preto,1
6076-41,1986,transwolff,6
6120-10,1189,transwolff,6
5164-10,1283,mobibrasil,6
6035-10,33981,transwolff,7
2767-10,33009,viacao metropole,3
4288-10,290,via sudeste,5
5791-10,607,mobibrasil,6
6418-10,771,transcap,8
390E-10,1882,viacao metropole,3
888P-10,454,santa brigida,1
6805-10,32799,campo belo,7
407F-10,2167,viacao metropole,3
6826-10,32784,campo belo,7
4729-10,1108,movebuss,5
6813-10,32801,campo belo,7
374V-10,34415,allibus,4
2712-10,33694,allibus,4
714C-10,487,transppass,8
2709-31,923,allibus,4
756A-10,33561,transcap,8
4012-10,2185,express,4
513C-31,2536,transuniao,5
7049-10,1912,transwolff,7
373T-10,1091,movebuss,5
1773-10,33405,sambaiba,2
5015-10,1119,a2 transportes,6
407A-10,2194,express,4
847J-10,34110,santa brigida,1
5362-10,32838,viacao grajau,6
3001-10,34418,viacao metropole,3
675G-10,106,viacao grajau,6
407R-10,2201,express,4
8538-10,34127,gato preto,1
7725-10,33240,transppass,8
3731-10,33796,allibus,4
6001-10,52,campo belo,7
874T-10,307,via sudeste,5
8015-21,34797,spencer,1
2552-10,142,viacao metropole,3
3023-10,960,allibus,4
7011-10,1952,transwolff,7
4003-10,34927,express,4
8215-10,33342,santa brigida,1
8077-10,34818,transppass,8
179X-10,33448,spencer,2
5024-31,33891,a2 transportes,6
4056-10,35005,transuniao,3
2722-10,935,allibus,4
8677-10,443,santa brigida,1
9011-10,33646,norte buss s.a.,1
4055-10,2447,transuniao,3
1177-10,32897,viacao metropole,3
2014-10,33668,spencer,2
6115-41,2241,transwolff,6
3160-10,32893,ambiental transportes urbanos s.a.,4
573T-31,35016,movebuss,5
677A-10,1239,viacao metropole,7
677Y-10,1240,transwolff,7
1020-10,2497,spencer,1
8055-51,33185,santa brigida,1
8040-10,33174,santa brigida,1
9047-10,33651,norte buss s.a.,1
3051-10,2446,upbus s.a.,3
6L03-10,1565,transwolff,6
637G-51,32870,viacao grajau,6
6083-10,1733,transwolff,6
372U-10,1016,allibus,4
4708-10,332,via sudeste,5
5010-10,1114,a2 transportes,6
1738-10,672,norte buss s.a.,2
8001-10,1251,santa brigida,1
8622-10,33206,santa brigida,1
607C-10,1977,mobibrasil,6
3902-10,34238,viacao metropole,3
178A-10,558,sambaiba,2
5362-23,34628,viacao grajau,6
6803-10,29,campo belo,7
695V-10,8,kbpx,7
707A-10,34758,viacao metropole,7
213E-10,35266,sambaiba,2
809H-10,35013,transppass,8
5759-31,33907,a2 transportes,6
807J-10,2058,transcap,8
573T-10,34400,movebuss,5
2012-10,2281,sambaiba,2
7245-10,363,gatusa,7
7005-10,1998,transwolff,7
809H-10,2245,transppass,8
8002-10,34020,santa brigida,1
3046-10,33739,allibus,4
546A-31,33900,a2 transportes,6
9188-10,33577,norte buss s.a.,1
6016-10,32852,transwolff,6
2710-10,33692,allibus,4
8078-10,2080,transcap,8
9166-10,33475,sambaiba,2
5025-10,34332,movebuss,5
4735-10,33878,movebuss,5
748R-10,33269,transppass,8
9009-10,33645,norte buss s.a.,1
6118-10,33956,transwolff,6
6053-10,1145,transwolff,6
1787-10,33418,norte buss s.a.,2
2740-10,1792,sambaiba,2
4051-10,34912,transuniao,3
9009-10,877,norte buss s.a.,1
4004-10,34946,express,4
475R-10,344,via sudeste,5
5630-10,32846,viacao grajau,6
6L07-10,34313,transwolff,6
701A-10,689,sambaiba,2
546J-10,33901,a2 transportes,6
3414-10,33514,ambiental transportes urbanos s.a.,4
9789-10,33597,norte buss s.a.,1
3737-31,34122,allibus,4
8594-10,33200,santa brigida,1
477P-10,33116,via sudeste,5
971M-10,33380,sambaiba,2
3743-10,1043,pessego,4
6801-51,34542,campo belo,7
5614-10,34283,mobibrasil,6
5036-10,1666,via sudeste,5
6116-10,33954,transwolff,6
175T-10,623,sambaiba,2
7062-41,35039,transwolff,7
4727-10,340,via sudeste,5
856R-10,1428,gato preto,8
278A-10,706,sambaiba,2
407N-10,2169,express,4
5109-10,34619,via sudeste,5
5033-10,1665,via sudeste,5
8014-10,33569,norte buss s.a.,1
1017-10,34909,spencer,1
746K-10,787,transcap,8
6050-10,33993,transwolff,6
8194-10,805,norte buss s.a.,1
701H-10,35326,transwolff,7
119L-10,35041,norte buss s.a.,1
5370-10,34210,viacao grajau,6
1772-10,33403,sambaiba,2
6816-31,34516,campo belo,7
8055-10,33182,santa brigida,1
2435-10,210,viacao metropole,3
172P-10,33626,norte buss s.a.,2
3029-10,966,allibus,4
1206-10,33610,spencer,2
3462-10,247,viacao metropole,3
3099-10,33847,movebuss,5
5129-10,1281,mobibrasil,6
669A-10,32772,kbpx,7
6044-10,33989,transwolff,7
8010-21,1737,norte buss s.a.,1
3053-10,973,allibus,4
677V-10,32880,transwolff,6
2025-10,35035,sambaiba,2
5129-41,34742,mobibrasil,6
1026-10,2306,spencer,1
508L-10,117,viacao metropole,3
2766-10,33173,viacao metropole,3
8019-31,2574,transppass,8
211V-10,32922,viacao metropole,3
7005-51,34767,transwolff,7
3746-10,33051,via sudeste,5
7272-10,34101,gato preto,8
3019-10,33725,pessego,4
4053-10,34914,transuniao,3
3390-10,738,via sudeste,5
9354-10,708,sambaiba,2
5757-51,1976,a2 transportes,6
7181-10,34100,gato preto,8
6L01-10,33939,transwolff,6
6823-10,34,campo belo,7
607M-10,34804,viacao grajau,6
3796-10,33842,pessego,4
8023-10,34842,transppass,8
2031-10,33135,viacao metropole,3
273N-10,390,viacao metropole,3
3725-10,33790,allibus,4
6063-21,34769,transwolff,6
8542-21,34129,gato preto,1
6022-10,33975,transwolff,7
6037-10,33983,transwolff,7
2175-10,697,sambaiba,2
809P-10,1891,campo belo,7
848L-10,808,spencer,1
1156-10,659,sambaiba,2
6110-10,33952,transwolff,6
6047-10,33992,transwolff,7
3134-10,993,allibus,4
4007-10,2181,express,4
119C-10,33429,sambaiba,2
274P-10,232,viacao metropole,3
1764-10,33393,sambaiba,2
3766-10,33823,pessego,4
2033-10,35267,sambaiba,2
3728-41,34756,pessego,4
875C-10,33246,transppass,8
6414-10,360,gatusa,7
627J-10,34824,a2 transportes,6
6057-10,1148,transwolff,6
8707-10,2064,transppass,8
6451-10,61,campo belo,7
5031-10,34514,movebuss,5
5013-31,35004,a2 transportes,6
6008-10,1200,transwolff,7
476A-10,33072,via sudeste,5
2772-10,398,viacao metropole,3
2723-10,33705,allibus,4
4008-21,2527,express,4
6804-10,30,campo belo,7
648P-10,66,campo belo,7
527R-10,271,a2 transportes,6
605A-10,35290,mobibrasil,6
746V-10,792,transcap,8
4114-10,321,via sudeste,5
1726-10,1403,sambaiba,2
