line_sign_name,line_number,company_name,region_id
637A-10,32953,VIACAO METROPOLE,0
2076-10,33136,VIACAO METROPOLE PAULISTA S.A.,3
342C-10,1002,Pessego,0
546L-10,1285,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
5129-10,1281,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
6232-10,483,TRANSPPASS TRANSPORTE DE PASSAGEIROS LTDA.,8
2123-10,692,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
148P-10,534,SAMBAIBA,0
6358-10,34062,MOBIBRASIL,0
178T-10,565,SAMBAIBA,0
7060-10,1889,VIACAO CAMPO BELO LTDA.,7
6913-10,1465,VIACAO GRAJAU,0
6007-10,32944,VIACAO METROPOLE,0
675R-10,32877,VIACAO GRAJAU S.A.,6
177H-10,630,SAMBAIBA,0
5300-10,33122,GATUSA,0
5318-10,32813,VIACAO CAMPO BELO LTDA.,7
8605-10,34685,KBPX ADMINISTRACAO E PARTICIPACAO LTDA,7
6048-10,56,CAMPO BELO,0
4002-10,34945,VIACAO METROPOLE PAULISTA S.A.,3
809A-10,34837,TRANSPPASS,0
475R-10,344,VIA SUDESTE,0
9191-10,810,Norte Buss S.A.,0
6118-10,33956,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
695X-22,34389,VIACAO GRAJAU S.A.,6
6812-10,1242,Transwolff,0
709M-10,2462,GATUSA,0
807A-10,1900,CAMPO BELO,0
2703-10,33683,TRANSUNIAO TRANSPORTES S/A,3
513C-31,2536,TRANSUNIAO,0
4709-10,333,VIA SUDESTE,0
2017-10,903,UPBUS QUALIDADE EM TRANSPORTES S.A.,3
7181-10,1332,VIACAO GATO PRETO LTDA.,8
9789-10,33597,NORTE BUSS TRANSPORTES S.A.,1
3746-10,33051,VIA SUDESTE,0
574R-10,34391,TRANSUNIAO TRANSPORTES S/A,5
5362-23,34628,VIACAO GRAJAU,0
4314-10,34942,VIACAO METROPOLE,0
7012-10,34811,Transwolff,0
517J-10,33897,A2 Transportes,0
2551-10,32909,VIACAO METROPOLE PAULISTA S.A.,3
917M-10,1366,VIACAO GATO PRETO LTDA.,1
373T-10,1091,MOVEBUSS,0
407K-10,2168,VIACAO METROPOLE PAULISTA S.A.,3
1709-10,33619,NORTE BUSS TRANSPORTES S.A.,2
271C-10,33450,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
8000-10,1273,SANTA BRIGIDA,0
4055-10,2447,TRANSUNIAO,0
172K-10,33625,SPENCER TRANSPORTE RODOVIARIO LTDA,2
6036-10,33982,Transwolff,0
957T-10,33232,SANTA BRIGIDA,0
807A-10,34668,CAMPO BELO,0
1702-10,33614,Spencer,0
6038-10,1216,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
7004-10,1992,VIACAO METROPOLE,0
819A-10,803,Norte Buss S.A.,0
5175-10,33361,MOBIBRASIL,0
2290-10,718,AMBIENTAL S.A.,0
4018-10,34959,EXPRESS,0
3023-10,960,Allibus,0
6970-10,34273,VIACAO GRAJAU,0
5110-10,34977,VIA SUDESTE,0
6403-10,32826,VIACAO CAMPO BELO LTDA.,7
573A-10,1637,TRANSUNIAO,0
7040-10,33544,ALFA RODOBUS,0
6500-10,46,CAMPO BELO,0
576M-10,604,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
771P-10,506,TRANSPPASS,0
3721-10,33787,Pessego,0
342N-10,33771,Pessego,0
3741-10,1041,PESSEGO TRANSPORTES LTDA,4
8700-10,1877,TRANSPPASS,0
695H-10,1196,VIACAO GRAJAU S.A.,6
8022-10,2085,VIACAO GATO PRETO LTDA.,8
3718-10,1013,PESSEGO TRANSPORTES LTDA,4
6960-10,34211,VIACAO GRAJAU,0
8015-10,34113,SPENCER TRANSPORTE RODOVIARIO LTDA,1
5131-10,34050,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
4031-10,33869,MOVEBUSS,0
746P-10,788,AUTO VIACAO TRANSCAP LTDA,8
917M-10,34134,VIACAO GATO PRETO LTDA.,1
374V-10,34415,ALLIBUS TRANSPORTES LTDA,4
351F-10,33455,SAMBAIBA,0
172R-10,33627,Norte Buss S.A.,0
8700-1,2508,GATO PRETO,0
6110-10,33952,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
807M-10,34684,AUTO VIACAO TRANSCAP LTDA,8
2011-10,34904,SAMBAIBA,0
875P-10,1341,VIACAO GATO PRETO LTDA.,8
4030-10,33868,MOVEBUSS Solucoes em Mobilidade Urbana Ltda,5
607M-10,2036,VIACAO GRAJAU S.A.,6
6505-10,1450,CAMPO BELO,0
2708-10,921,TRANSUNIAO,0
8021-10,34841,TRANSPPASS TRANSPORTE DE PASSAGEIROS LTDA.,8
5705-10,1657,VIA SUDESTE TRANSPORTES S.A.,5
5035-10,34436,MOVEBUSS,0
5012-10,1116,A2 Transportes,0
637J-10,103,MOBIBRASIL,0
6076-10,1165,Transwolff,0
6116-10,1186,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
3112-10,1080,MOVEBUSS,0
7281-10,34102,GATO PRETO,0
9002-10,33638,NORTE BUSS TRANSPORTES S.A.,2
6038-10,33984,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
175P-10,675,SAMBAIBA,0
2734-10,34528,UPBUS QUALIDADE EM TRANSPORTES S.A.,3
271A-51,33471,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
373T-10,33859,MOVEBUSS Solucoes em Mobilidade Urbana Ltda,5
978T-10,33657,Norte Buss S.A.,0
856R-10,1428,GATO PRETO,0
4115-10,33090,VIA SUDESTE,0
7002-10,33540,ALFA RODOBUS,0
2583-10,33143,VIACAO METROPOLE,0
8028-10,2532,AUTO VIACAO TRANSCAP LTDA,8
5105-10,1651,VIA SUDESTE TRANSPORTES S.A.,5
9023-10,1437,Norte Buss S.A.,0
675N-10,362,GATUSA,0
888P-10,33222,VIACAO SANTA BRIGIDA LTDA.,1
6059-10,1226,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
695V-10,8,KBPX,0
407E-10,34983,EXPRESS,0
5290-10,33365,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
8300-10,1264,VIACAO SANTA BRIGIDA LTDA.,1
5362-10,32838,VIACAO GRAJAU,0
5630-10,32846,VIACAO GRAJAU,0
271F-10,683,SAMBAIBA,0
6027-10,90,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
6013-10,32954,VIACAO METROPOLE PAULISTA S.A.,7
971D-10,33477,SAMBAIBA,0
1709-10,851,NORTE BUSS TRANSPORTES S.A.,2
